graph_seed,policy,metric,mean,n_students
4,B1_random,m_retention_14d,-0.377250,1000
4,B1_random,m_retention_1d,-0.033750,1000
4,B1_random,m_retention_3d,-0.107125,1000
4,B1_random,m_retention_7d,-0.222125,1000
4,B1_random,m_robust,0.486586,335
4,B1_random,m_transfer,0.748375,1000
4,B2_bkt,m_calib,0.146790,1000
4,B2_bkt,m_efficiency,0.003632,1000
4,B2_bkt,m_engage,1.000000,1000
4,B2_bkt,m_hint,0.000000,1000
4,B2_bkt,m_inference_robust,0.204785,265
4,B2_bkt,m_mastery,0.363216,1000
4,B2_bkt,m_meta,0.060950,1000
4,B2_bkt,m_retention_14d,-0.368250,1000
4,B2_bkt,m_retention_1d,-0.032750,1000
4,B2_bkt,m_retention_3d,-0.090250,1000
4,B2_bkt,m_retention_7d,-0.210250,1000
4,B2_bkt,m_transfer,0.737375,1000
4,B3_l2t_no_q,m_calib,0.159446,1000
4,B3_l2t_no_q,m_efficiency,0.003757,1000
4,B3_l2t_no_q,m_engage,0.842870,1000
4,B3_l2t_no_q,m_hint,-0.104965,1000
4,B3_l2t_no_q,m_inference_robust,0.158133,265
4,B3_l2t_no_q,m_mastery,0.375700,1000
4,B3_l2t_no_q,m_meta,0.052560,1000
4,B3_l2t_no_q,m_retention_14d,-0.390000,1000
4,B3_l2t_no_q,m_retention_1d,-0.036500,1000
4,B3_l2t_no_q,m_retention_3d,-0.111375,1000
4,B3_l2t_no_q,m_retention_7d,-0.237500,1000
4,B3_l2t_no_q,m_robust,0.844354,64
4,B3_l2t_no_q,m_transfer,0.765875,1000
4,B4_full_l2t,m_calib,0.187292,1000
4,B4_full_l2t,m_efficiency,0.003798,1000
4,B4_full_l2t,m_engage,0.851410,1000
4,B4_full_l2t,m_hint,-0.103848,1000
4,B4_full_l2t,m_inference_robust,0.255777,265
4,B4_full_l2t,m_mastery,0.379819,1000
4,B4_full_l2t,m_meta,0.054392,1000
4,B4_full_l2t,m_retention_14d,-0.387250,1000
4,B4_full_l2t,m_retention_1d,-0.045000,1000
4,B4_full_l2t,m_retention_3d,-0.104625,1000
4,B4_full_l2t,m_retention_7d,-0.224125,1000
4,B4_full_l2t,m_robust,0.944444,18
4,B4_full_l2t,m_transfer,0.762625,1000
5,B1_random,m_calib,0.169881,1000
5,B1_random,m_efficiency,0.003297,1000
5,B1_random,m_engage,0.852580,1000
5,B1_random,m_hint,-0.819281,1000
5,B1_random,m_inference_robust,0.206062,265
5,B1_random,m_mastery,0.329705,1000
5,B1_random,m_meta,0.034931,1000
5,B1_random,m_retention_14d,-0.373500,1000
5,B1_random,m_retention_1d,-0.036375,1000
5,B1_random,m_retention_3d,-0.098875,1000
5,B1_random,m_retention_7d,-0.220375,1000
5,B1_random,m_robust,0.473549,340
5,B1_random,m_transfer,0.743750,1000
5,B2_bkt,m_calib,0.134835,1000
5,B2_bkt,m_efficiency,0.003755,1000
5,B2_bkt,m_engage,1.000000,1000
5,B2_bkt,m_hint,0.000000,1000
5,B2_bkt,m_inference_robust,0.213824,265
5,B2_bkt,m_mastery,0.375508,1000
5,B2_bkt,m_meta,0.065818,1000
5,B2_bkt,m_retention_14d,-0.372625,1000
5,B2_bkt,m_retention_1d,-0.035125,1000
5,B2_bkt,m_retention_3d,-0.103125,1000
5,B2_bkt,m_retention_7d,-0.213625,1000
5,B2_bkt,m_transfer,0.747125,1000
5,B3_l2t_no_q,m_calib,0.148630,1000
5,B3_l2t_no_q,m_efficiency,0.003891,1000
5,B3_l2t_no_q,m_engage,0.827520,1000
5,B3_l2t_no_q,m_hint,-0.095534,1000
5,B3_l2t_no_q,m_inference_robust,0.171038,265
5,B3_l2t_no_q,m_mastery,0.389082,1000
5,B3_l2t_no_q,m_meta,0.057826,1000
5,B3_l2t_no_q,m_retention_14d,-0.397875,1000
5,B3_l2t_no_q,m_retention_1d,-0.041500,1000
5,B3_l2t_no_q,m_retention_3d,-0.111125,1000
5,B3_l2t_no_q,m_retention_7d,-0.227375,1000
5,B3_l2t_no_q,m_robust,0.877122,110
5,B3_l2t_no_q,m_transfer,0.766250,1000
5,B4_full_l2t,m_calib,0.176357,1000
5,B4_full_l2t,m_efficiency,0.003907,1000
5,B4_full_l2t,m_engage,0.838550,1000
5,B4_full_l2t,m_hint,-0.094911,1000
5,B4_full_l2t,m_inference_robust,0.256390,265
5,B4_full_l2t,m_mastery,0.390715,1000
5,B4_full_l2t,m_meta,0.061363,1000
5,B4_full_l2t,m_retention_14d,-0.389125,1000
5,B4_full_l2t,m_retention_1d,-0.044875,1000
5,B4_full_l2t,m_retention_3d,-0.112625,1000
5,B4_full_l2t,m_retention_7d,-0.227625,1000
5,B4_full_l2t,m_robust,0.857143,28
5,B4_full_l2t,m_transfer,0.769000,1000
6,B1_random,m_calib,0.171737,1000
6,B1_random,m_efficiency,0.003120,1000
6,B1_random,m_engage,0.852580,1000
6,B1_random,m_hint,-0.819281,1000
6,B1_random,m_inference_robust,0.204793,265
6,B1_random,m_mastery,0.311977,1000
6,B1_random,m_meta,0.043073,1000
6,B1_random,m_retention_14d,-0.373250,1000
6,B1_random,m_retention_1d,-0.042250,1000
6,B1_random,m_retention_3d,-0.108500,1000
6,B1_random,m_retention_7d,-0.225375,1000
6,B1_random,m_robust,0.457522,335
6,B1_random,m_transfer,0.745625,1000
6,B2_bkt,m_calib,0.138154,1000
6,B2_bkt,m_efficiency,0.003550,1000
6,B2_bkt,m_engage,1.000000,1000
6,B2_bkt,m_hint,0.000000,1000
6,B2_bkt,m_inference_robust,0.174944,265
6,B2_bkt,m_mastery,0.354963,1000
6,B2_bkt,m_meta,0.081820,1000
6,B2_bkt,m_retention_14d,-0.381000,1000
6,B2_bkt,m_retention_1d,-0.039375,1000
6,B2_bkt,m_retention_3d,-0.103000,1000
6,B2_bkt,m_retention_7d,-0.222375,1000
6,B2_bkt,m_transfer,0.745625,1000
6,B3_l2t_no_q,m_calib,0.150861,1000
6,B3_l2t_no_q,m_efficiency,0.003749,1000
6,B3_l2t_no_q,m_engage,0.831220,1000
6,B3_l2t_no_q,m_hint,-0.096512,1000
6,B3_l2t_no_q,m_inference_robust,0.140140,265
6,B3_l2t_no_q,m_mastery,0.374947,1000
6,B3_l2t_no_q,m_meta,0.055203,1000
6,B3_l2t_no_q,m_retention_14d,-0.399250,1000
6,B3_l2t_no_q,m_retention_1d,-0.031250,1000
6,B3_l2t_no_q,m_retention_3d,-0.114625,1000
6,B3_l2t_no_q,m_retention_7d,-0.229500,1000
6,B3_l2t_no_q,m_robust,0.867991,126
6,B3_l2t_no_q,m_transfer,0.767250,1000
6,B4_full_l2t,m_calib,0.175260,1000
6,B4_full_l2t,m_efficiency,0.003750,1000
6,B4_full_l2t,m_engage,0.842210,1000
6,B4_full_l2t,m_hint,-0.098326,1000
6,B4_full_l2t,m_inference_robust,0.238600,265
6,B4_full_l2t,m_mastery,0.374984,1000
6,B4_full_l2t,m_meta,0.061180,1000
6,B4_full_l2t,m_retention_14d,-0.394125,1000
6,B4_full_l2t,m_retention_1d,-0.038000,1000
6,B4_full_l2t,m_retention_3d,-0.118375,1000
6,B4_full_l2t,m_retention_7d,-0.237500,1000
6,B4_full_l2t,m_robust,0.794118,34
6,B4_full_l2t,m_transfer,0.769875,1000
7,B1_random,m_calib,0.174737,1000
7,B1_random,m_efficiency,0.003148,1000
7,B1_random,m_engage,0.852580,1000
7,B1_random,m_hint,-0.819281,1000
7,B1_random,m_inference_robust,0.205800,265
7,B1_random,m_mastery,0.314752,1000
7,B1_random,m_meta,0.035960,1000
7,B1_random,m_retention_14d,-0.372875,1000
7,B1_random,m_retention_1d,-0.038125,1000
7,B1_random,m_retention_3d,-0.104125,1000
7,B1_random,m_retention_7d,-0.217625,1000
7,B1_random,m_robust,0.482746,355
7,B1_random,m_transfer,0.758000,1000
7,B2_bkt,m_calib,0.130278,1000
7,B2_bkt,m_efficiency,0.003799,1000
7,B2_bkt,m_engage,1.000000,1000
7,B2_bkt,m_hint,0.000000,1000
7,B2_bkt,m_inference_robust,0.214268,265
7,B2_bkt,m_mastery,0.379915,1000
7,B2_bkt,m_meta,0.048959,1000
7,B2_bkt,m_retention_14d,-0.386750,1000
7,B2_bkt,m_retention_1d,-0.035625,1000
7,B2_bkt,m_retention_3d,-0.095500,1000
7,B2_bkt,m_retention_7d,-0.219875,1000
7,B2_bkt,m_transfer,0.751750,1000
7,B3_l2t_no_q,m_calib,0.152518,1000
7,B3_l2t_no_q,m_efficiency,0.003795,1000
7,B3_l2t_no_q,m_engage,0.827570,1000
7,B3_l2t_no_q,m_hint,-0.095127,1000
7,B3_l2t_no_q,m_inference_robust,0.164173,265
7,B3_l2t_no_q,m_mastery,0.379524,1000
7,B3_l2t_no_q,m_meta,0.030438,1000
7,B3_l2t_no_q,m_retention_14d,-0.387125,1000
7,B3_l2t_no_q,m_retention_1d,-0.038000,1000
7,B3_l2t_no_q,m_retention_3d,-0.115625,1000
7,B3_l2t_no_q,m_retention_7d,-0.231500,1000
7,B3_l2t_no_q,m_robust,0.890639,119
7,B3_l2t_no_q,m_transfer,0.767875,1000
7,B4_full_l2t,m_calib,0.180550,1000
7,B4_full_l2t,m_efficiency,0.003836,1000
7,B4_full_l2t,m_engage,0.839160,1000
7,B4_full_l2t,m_hint,-0.096191,1000
7,B4_full_l2t,m_inference_robust,0.258386,265
7,B4_full_l2t,m_mastery,0.383618,1000
7,B4_full_l2t,m_meta,0.034336,1000
7,B4_full_l2t,m_retention_14d,-0.392500,1000
7,B4_full_l2t,m_retention_1d,-0.030125,1000
7,B4_full_l2t,m_retention_3d,-0.112375,1000
7,B4_full_l2t,m_retention_7d,-0.223250,1000
7,B4_full_l2t,m_robust,0.967742,31
7,B4_full_l2t,m_transfer,0.765500,1000
8,B1_random,m_calib,0.177824,1000
8,B1_random,m_efficiency,0.003246,1000
8,B1_random,m_engage,0.852580,1000
8,B1_random,m_hint,-0.819281,1000
8,B1_random,m_inference_robust,0.206010,265
8,B1_random,m_mastery,0.324636,1000
8,B1_random,m_meta,0.032007,1000
8,B1_random,m_retention_14d,-0.377875,1000
8,B1_random,m_retention_1d,-0.034375,1000
8,B1_random,m_retention_3d,-0.107750,1000
8,B1_random,m_retention_7d,-0.230000,1000
8,B1_random,m_robust,0.485416,350
8,B1_random,m_transfer,0.759500,1000
8,B2_bkt,m_calib,0.136780,1000
8,B2_bkt,m_efficiency,0.003613,1000
8,B2_bkt,m_engage,1.000000,1000
8,B2_bkt,m_hint,0.000000,1000
8,B2_bkt,m_inference_robust,0.190175,265
8,B2_bkt,m_mastery,0.361257,1000
8,B2_bkt,m_meta,0.045023,1000
8,B2_bkt,m_retention_14d,-0.378125,1000
8,B2_bkt,m_retention_1d,-0.042750,1000
8,B2_bkt,m_retention_3d,-0.107500,1000
8,B2_bkt,m_retention_7d,-0.224000,1000
8,B2_bkt,m_transfer,0.750875,1000
8,B3_l2t_no_q,m_calib,0.146964,1000
8,B3_l2t_no_q,m_efficiency,0.003740,1000
8,B3_l2t_no_q,m_engage,0.825760,1000
8,B3_l2t_no_q,m_hint,-0.094940,1000
8,B3_l2t_no_q,m_inference_robust,0.140979,265
8,B3_l2t_no_q,m_mastery,0.373998,1000
8,B3_l2t_no_q,m_meta,0.027574,1000
8,B3_l2t_no_q,m_retention_14d,-0.382375,1000
8,B3_l2t_no_q,m_retention_1d,-0.040500,1000
8,B3_l2t_no_q,m_retention_3d,-0.116125,1000
8,B3_l2t_no_q,m_retention_7d,-0.219500,1000
8,B3_l2t_no_q,m_robust,0.865707,117
8,B3_l2t_no_q,m_transfer,0.762500,1000
8,B4_full_l2t,m_calib,0.173767,1000
8,B4_full_l2t,m_efficiency,0.003811,1000
8,B4_full_l2t,m_engage,0.837390,1000
8,B4_full_l2t,m_hint,-0.092429,1000
8,B4_full_l2t,m_inference_robust,0.237271,265
8,B4_full_l2t,m_mastery,0.381132,1000
8,B4_full_l2t,m_meta,0.028401,1000
8,B4_full_l2t,m_retention_14d,-0.386750,1000
8,B4_full_l2t,m_retention_1d,-0.025375,1000
8,B4_full_l2t,m_retention_3d,-0.104875,1000
8,B4_full_l2t,m_retention_7d,-0.229750,1000
8,B4_full_l2t,m_robust,0.941176,34
8,B4_full_l2t,m_transfer,0.763875,1000
9,B1_random,m_calib,0.173100,1000
9,B1_random,m_efficiency,0.003179,1000
9,B1_random,m_engage,0.852580,1000
9,B1_random,m_hint,-0.819281,1000
9,B1_random,m_inference_robust,0.195759,265
9,B1_random,m_mastery,0.317894,1000
9,B1_random,m_meta,0.031024,1000
9,B1_random,m_retention_14d,-0.371375,1000
9,B1_random,m_retention_1d,-0.032500,1000
9,B1_random,m_retention_3d,-0.095875,1000
9,B1_random,m_retention_7d,-0.219500,1000
9,B1_random,m_robust,0.467602,359
9,B1_random,m_transfer,0.746250,1000
9,B2_bkt,m_calib,0.129464,1000
9,B2_bkt,m_efficiency,0.003635,1000
9,B2_bkt,m_engage,1.000000,1000
9,B2_bkt,m_hint,0.000000,1000
9,B2_bkt,m_inference_robust,0.188590,265
9,B2_bkt,m_mastery,0.363451,1000
9,B2_bkt,m_meta,0.045484,1000
9,B2_bkt,m_retention_14d,-0.382500,1000
9,B2_bkt,m_retention_1d,-0.033625,1000
9,B2_bkt,m_retention_3d,-0.100375,1000
9,B2_bkt,m_retention_7d,-0.222125,1000
9,B2_bkt,m_transfer,0.751625,1000
9,B3_l2t_no_q,m_calib,0.143088,1000
9,B3_l2t_no_q,m_efficiency,0.003728,1000
9,B3_l2t_no_q,m_engage,0.823340,1000
9,B3_l2t_no_q,m_hint,-0.091671,1000
9,B3_l2t_no_q,m_inference_robust,0.147848,265
9,B3_l2t_no_q,m_mastery,0.372806,1000
9,B3_l2t_no_q,m_meta,0.047901,1000
9,B3_l2t_no_q,m_retention_14d,-0.381000,1000
9,B3_l2t_no_q,m_retention_1d,-0.031000,1000
9,B3_l2t_no_q,m_retention_3d,-0.103625,1000
9,B3_l2t_no_q,m_retention_7d,-0.217375,1000
9,B3_l2t_no_q,m_robust,0.861201,140
9,B3_l2t_no_q,m_transfer,0.761875,1000
9,B4_full_l2t,m_calib,0.163334,1000
9,B4_full_l2t,m_efficiency,0.003749,1000
9,B4_full_l2t,m_engage,0.835100,1000
9,B4_full_l2t,m_hint,-0.090829,1000
9,B4_full_l2t,m_inference_robust,0.231125,265
9,B4_full_l2t,m_mastery,0.374938,1000
9,B4_full_l2t,m_meta,0.052443,1000
9,B4_full_l2t,m_retention_14d,-0.392875,1000
9,B4_full_l2t,m_retention_1d,-0.039250,1000
9,B4_full_l2t,m_retention_3d,-0.113875,1000
9,B4_full_l2t,m_retention_7d,-0.227750,1000
9,B4_full_l2t,m_robust,0.826923,52
9,B4_full_l2t,m_transfer,0.769250,1000
10,B1_random,m_calib,0.178460,1000
10,B1_random,m_efficiency,0.003259,1000
10,B1_random,m_engage,0.852580,1000
10,B1_random,m_hint,-0.819281,1000
10,B1_random,m_inference_robust,0.207044,265
10,B1_random,m_mastery,0.325880,1000
10,B1_random,m_meta,0.037363,1000
10,B1_random,m_retention_14d,-0.374500,1000
10,B1_random,m_retention_1d,-0.040875,1000
10,B1_random,m_retention_3d,-0.109000,1000
10,B1_random,m_retention_7d,-0.223125,1000
10,B1_random,m_robust,0.474327,344
10,B1_random,m_transfer,0.756625,1000
10,B2_bkt,m_calib,0.137705,1000
10,B2_bkt,m_efficiency,0.003685,1000
10,B2_bkt,m_engage,1.000000,1000
10,B2_bkt,m_hint,0.000000,1000
10,B2_bkt,m_inference_robust,0.203532,265
10,B2_bkt,m_mastery,0.368484,1000
10,B2_bkt,m_meta,0.059795,1000
10,B2_bkt,m_retention_14d,-0.386375,1000
10,B2_bkt,m_retention_1d,-0.035750,1000
10,B2_bkt,m_retention_3d,-0.109000,1000
10,B2_bkt,m_retention_7d,-0.218625,1000
10,B2_bkt,m_transfer,0.750125,1000
10,B3_l2t_no_q,m_calib,0.154965,1000
10,B3_l2t_no_q,m_efficiency,0.003820,1000
10,B3_l2t_no_q,m_engage,0.831560,1000
10,B3_l2t_no_q,m_hint,-0.093087,1000
10,B3_l2t_no_q,m_inference_robust,0.157457,265
10,B3_l2t_no_q,m_mastery,0.382028,1000
10,B3_l2t_no_q,m_meta,0.052277,1000
10,B3_l2t_no_q,m_retention_14d,-0.394250,1000
10,B3_l2t_no_q,m_retention_1d,-0.041250,1000
10,B3_l2t_no_q,m_retention_3d,-0.115875,1000
10,B3_l2t_no_q,m_retention_7d,-0.240000,1000
10,B3_l2t_no_q,m_robust,0.891107,131
10,B3_l2t_no_q,m_transfer,0.771875,1000
10,B4_full_l2t,m_calib,0.179022,1000
10,B4_full_l2t,m_efficiency,0.003802,1000
10,B4_full_l2t,m_engage,0.842440,1000
10,B4_full_l2t,m_hint,-0.093002,1000
10,B4_full_l2t,m_inference_robust,0.249365,265
10,B4_full_l2t,m_mastery,0.380201,1000
10,B4_full_l2t,m_meta,0.059511,1000
10,B4_full_l2t,m_retention_14d,-0.395875,1000
10,B4_full_l2t,m_retention_1d,-0.037750,1000
10,B4_full_l2t,m_retention_3d,-0.109125,1000
10,B4_full_l2t,m_retention_7d,-0.240375,1000
10,B4_full_l2t,m_robust,0.840000,25
10,B4_full_l2t,m_transfer,0.770250,1000
11,B1_random,m_calib,0.169720,1000
11,B1_random,m_efficiency,0.003285,1000
11,B1_random,m_engage,0.852580,1000
11,B1_random,m_hint,-0.819281,1000
11,B1_random,m_inference_robust,0.194464,265
11,B1_random,m_mastery,0.328494,1000
11,B1_random,m_meta,0.037356,1000
11,B1_random,m_retention_14d,-0.382375,1000
11,B1_random,m_retention_1d,-0.037875,1000
11,B1_random,m_retention_3d,-0.110625,1000
11,B1_random,m_retention_7d,-0.220625,1000
11,B1_random,m_robust,0.483102,348
11,B1_random,m_transfer,0.752875,1000
11,B2_bkt,m_calib,0.129765,1000
11,B2_bkt,m_efficiency,0.003646,1000
11,B2_bkt,m_engage,1.000000,1000
11,B2_bkt,m_hint,0.000000,1000
11,B2_bkt,m_inference_robust,0.182693,265
11,B2_bkt,m_mastery,0.364626,1000
11,B2_bkt,m_meta,0.060508,1000
11,B2_bkt,m_retention_14d,-0.380250,1000
11,B2_bkt,m_retention_1d,-0.035000,1000
11,B2_bkt,m_retention_3d,-0.096375,1000
11,B2_bkt,m_retention_7d,-0.215000,1000
11,B2_bkt,m_transfer,0.743000,1000
11,B3_l2t_no_q,m_calib,0.143491,1000
11,B3_l2t_no_q,m_efficiency,0.003685,1000
11,B3_l2t_no_q,m_engage,0.817300,1000
11,B3_l2t_no_q,m_hint,-0.092469,1000
11,B3_l2t_no_q,m_inference_robust,0.135505,265
11,B3_l2t_no_q,m_mastery,0.368537,1000
11,B3_l2t_no_q,m_meta,0.049855,1000
11,B3_l2t_no_q,m_retention_14d,-0.393625,1000
11,B3_l2t_no_q,m_retention_1d,-0.042625,1000
11,B3_l2t_no_q,m_retention_3d,-0.117125,1000
11,B3_l2t_no_q,m_retention_7d,-0.231250,1000
11,B3_l2t_no_q,m_robust,0.886759,153
11,B3_l2t_no_q,m_transfer,0.771875,1000
11,B4_full_l2t,m_calib,0.168266,1000
11,B4_full_l2t,m_efficiency,0.003686,1000
11,B4_full_l2t,m_engage,0.829030,1000
11,B4_full_l2t,m_hint,-0.090652,1000
11,B4_full_l2t,m_inference_robust,0.220122,265
11,B4_full_l2t,m_mastery,0.368639,1000
11,B4_full_l2t,m_meta,0.055227,1000
11,B4_full_l2t,m_retention_14d,-0.384625,1000
11,B4_full_l2t,m_retention_1d,-0.041250,1000
11,B4_full_l2t,m_retention_3d,-0.116375,1000
11,B4_full_l2t,m_retention_7d,-0.227750,1000
11,B4_full_l2t,m_robust,0.914894,47
11,B4_full_l2t,m_transfer,0.767625,1000
12,B1_random,m_calib,0.164847,1000
12,B1_random,m_efficiency,0.003555,1000
12,B1_random,m_engage,0.852580,1000
